campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward
2014-12_Geographe-bay_stereo-BRUVs,96,NA,115.4808,-33.4489,Hayley,Molly,2014-12-11T13:04:00+08:00,Geographe Bay,Geographe Bay,15.9,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,97,NA,115.2927,-33.3847,Hayley,Molly,2014-12-11T08:43:00+08:00,Geographe Bay,Geographe Bay,35.6,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,98,NA,115.1727,-33.434,Lizzy,N/A,2014-12-10T10:56:00+08:00,Geographe Bay,Geographe Bay,38,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,101,NA,115.3768,-33.3886,Lizzy,NA,2014-12-14T06:47:00+08:00,Geographe Bay,Geographe Bay,16.7,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,100,NA,115.2142,-33.4325,Molly,N/A,2014-12-10T11:14:00+08:00,Geographe Bay,Geographe Bay,36.7,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,102,NA,115.1196,-33.5185,Hayley,Molly,2014-12-09T12:39:00+08:00,Geographe Bay,Geographe Bay,34.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,103,NA,115.4547,-33.4581,Hayley,Molly,2014-12-11T13:12:00+08:00,Geographe Bay,Geographe Bay,18.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,104,NA,115.2451,-33.4597,Molly,Lizzy,2014-12-09T10:04:00+08:00,Geographe Bay,Geographe Bay,33.3,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,106,NA,115.3451,-33.5783,Logan,NA,2014-12-12T11:27:00+08:00,Geographe Bay,Geographe Bay,13.5,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,107_old,NA,115.1881,-33.5833,Logan,NA,2014-12-15T08:56:00+08:00,Geographe Bay,Geographe Bay,20.9,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,107,NA,115.1881,-33.5833,Molly,N/A,2014-12-09T09:25:00+08:00,Geographe Bay,Geographe Bay,29.3,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,108,NA,115.1677,-33.4691,Logan,Molly,2014-12-11T06:47:00+08:00,Geographe Bay,Geographe Bay,34,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,111,NA,115.3219,-33.5369,Logan,Molly,2014-12-12T10:55:00+08:00,Geographe Bay,Geographe Bay,21.9,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,110,NA,115.3557,-33.4023,NA,NA,2014-12-14T06:37:00+08:00,Geographe Bay,Geographe Bay,17,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,112,NA,115.5224,-33.4052,Hayley,Molly,2014-12-11T12:35:00+08:00,Geographe Bay,Geographe Bay,14.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,113,NA,115.2779,-33.3658,Laura,Laura,2014-12-10T13:45:00+08:00,Geographe Bay,Geographe Bay,36.6,Yes,Yes,NA,NA,NA,NA
