"campaignid","sample","latitude_dd","longitude_dd","location","site","depth_m","observer_count","successful_count","successful_length","status","observer_length","date_time"
"2014-12_Geographe.Bay_stereoBRUVs","224",-33.4189,115.5036,"Geographe Bay","Geographe Bay",16.5,"Hayley","Yes","Yes","Fished","Unknown","2014-12-16T06:59:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","234",-33.6032,115.3602,"Geographe Bay","Geographe Bay",9.3,"Curtin","Yes","Yes","Fished","Unknown","2014-12-17T10:03:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","236",-33.4949,115.4767,"Geographe Bay","Geographe Bay",13.1,"Unknown","Yes","Yes","Fished","Unknown","2014-12-16T10:45:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","240",-33.4388,115.4685,"Geographe Bay","Geographe Bay",18.9,"Logan","Yes","No","Fished","Unknown","2014-12-16T08:56:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","247",-33.5561,115.1345,"Geographe Bay","Geographe Bay",26.4,"Curtin","Yes","Yes","Fished","Unknown","2014-12-15T06:30:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","250",-33.5628,115.4224,"Geographe Bay","Geographe Bay",10,"Curtin","Yes","No","No-take","Unknown","2014-12-16T15:17:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","256",-33.4083,115.4775,"Geographe Bay","Geographe Bay",11.1,"Logan","Yes","Yes","Fished","Unknown","2014-12-14T13:12:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","267",-33.5707,115.1362,"Geographe Bay","Geographe Bay",23.2,"Curtin","Yes","Yes","Fished","Unknown","2014-12-15T06:22:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","270",-33.5205,115.4206,"Geographe Bay","Geographe Bay",13.7,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T06:00:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","271",-33.5937,115.2133,"Geographe Bay","Geographe Bay",27.3,"Logan","Yes","Yes","Fished","Unknown","2014-12-12T06:06:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","272",-33.3815,115.4879,"Geographe Bay","Geographe Bay",11.7,"Logan (ends 54:39)","Yes","Yes","Fished","Unknown","2014-12-14T08:37:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","282",-33.5572,115.3322,"Geographe Bay","Geographe Bay",18.2,"Logan","Yes","Yes","Fished","Unknown","2014-12-17T08:02:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","279",-33.5012,115.4379,"Geographe Bay","Geographe Bay",14.2,"Curtin","Yes","No","Fished","Unknown","2014-12-16T11:32:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","287",-33.594,115.2189,"Geographe Bay","Geographe Bay",16.4,"Logan","Yes","Yes","Fished","Unknown","2014-12-15T10:50:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","288",-33.471,115.4776,"Geographe Bay","Geographe Bay",14.3,"Logan","Yes","Yes","Fished","Unknown","2014-12-16T09:29:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","295",-33.5555,115.4661,"Geographe Bay","Geographe Bay",2.5,"Unknown","Yes","Yes","Fished","Unknown","2014-12-16T15:50:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","298",-33.5825,115.1301,"Geographe Bay","Geographe Bay",18.1,"Unknown","Yes","Yes","Fished","Unknown","2014-12-15T06:56:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","304",-33.5958,115.1454,"Geographe Bay","Geographe Bay",13.7,"Curtin","Yes","Yes","Fished","Unknown","2014-12-15T10:17:00+08:00"
