"campaignid","sample","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","state.zone","status"
"2014-12_Geographe.Bay_stereoBRUVs","79",-33.5874,115.2309,"2014-12-12","08:16:00","Geographe Bay","Geographe Bay","18.5","Hayley","Yes","Yes",NA,"2","Habitat Protection Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","81",-33.3788,115.2305,"2014-12-10","14:18:00","Geographe Bay","Geographe Bay","38.9","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","82",-33.3955,115.1103,"2014-12-10","07:49:00","Geographe Bay","Geographe Bay","42.6","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","83",-33.4694,115.3791,"2014-12-13","10:26:00","Geographe Bay","Geographe Bay","24.6","Logan","Yes","No",NA,"5","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","84",-33.3965,115.1924,"2014-12-10","11:28:00","Geographe Bay","Geographe Bay","41","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","86",-33.5405,115.1785,"2014-12-09","07:24:00","Geographe Bay","Geographe Bay","28.6","Hayley","Yes","Yes",NA,"2","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","87",-33.4896,115.4589,"2014-12-13","07:49:00","Geographe Bay","Geographe Bay","13","Hayley","Yes","Yes",NA,"3","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","88",-33.5011,115.2145,"2014-12-09","09:45:00","Geographe Bay","Geographe Bay","31.4","Hayley","Yes","Yes",NA,"1","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","89",-33.3828,115.0564,"2014-12-10","06:58:00","Geographe Bay","Geographe Bay","43.9","Molly","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","90",-33.5333,115.3225,"2014-12-12","10:53:00","Geographe Bay","Geographe Bay","22","Hayley","Yes","No",NA,"3","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","91",-33.5396,115.2061,"2014-12-09","06:54:00","Geographe Bay","Geographe Bay","29.8","Hayley","Yes","Yes",NA,"1","Habitat Protection Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","92",-33.4176,115.315,"2014-12-11","06:43:00","Geographe Bay","Geographe Bay","33","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","93",-33.4813,115.1528,"2014-12-09","12:59:00","Geographe Bay","Geographe Bay","36","Curtin","Yes","No",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","95",-33.5175,115.3155,"2014-12-12","10:42:00","Geographe Bay","Geographe Bay","24.9","Hayley","Yes","Yes",NA,"3","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","96",-33.4489,115.4808,"2014-12-11","13:04:00","Geographe Bay","Geographe Bay","15.9","Hayley","Yes","No",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","97",-33.3847,115.2927,"2014-12-11","08:43:00","Geographe Bay","Geographe Bay","35.6","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","98",-33.434,115.1727,"2014-12-10","10:56:00","Geographe Bay","Geographe Bay","38","Curtin","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","100",-33.4325,115.2142,"2014-12-10","11:14:00","Geographe Bay","Geographe Bay","36.7","Molly","Yes","No",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","102",-33.5185,115.1196,"2014-12-09","12:39:00","Geographe Bay","Geographe Bay","34.4","Hayley","Yes","Yes",NA,"1","Multiple Use Zone",NA,"Fished"
